shape,an52,bn52,u52_ns,ref_core_ns,ref_full_ns,u52_ns_per_digit_product,ref_core_ns_per_digit_product,ref_full_ns_per_digit_product
an=4bn,186,47,501.658422,603.344151,727.244186,0.057384857,0.069016718,0.083189680
an=4bn,188,47,527.784761,613.840074,735.584961,0.059731186,0.069470357,0.083248637
an=4bn,190,48,543.836886,629.577181,755.079750,0.059631237,0.069032586,0.082793832
an=4bn,192,48,542.568280,640.055697,758.038054,0.058872426,0.069450488,0.082252393
an=4bn,194,49,559.981399,671.116741,784.699219,0.058908205,0.070599278,0.082547782
an=4bn,196,49,557.032914,674.802833,790.441176,0.058000095,0.070262686,0.082303329
an=4bn,198,50,571.936547,680.323596,802.796741,0.057771368,0.068719555,0.081090580
an=4bn,200,50,588.076367,687.951870,811.237069,0.058807637,0.068795187,0.081123707
an=8bn,8,1,5.338284,14.790385,26.932554,0.667285457,1.848798115,3.366569188
an=8bn,10,1,8.322545,19.148859,31.592097,0.832254494,1.914885876,3.159209695
an=8bn,12,2,8.515760,19.893254,32.661877,0.354823326,0.828885585,1.360911558
an=8bn,14,2,10.193633,23.164927,37.576152,0.364058326,0.827318826,1.342005439
an=8bn,16,2,10.163486,23.300447,40.034172,0.317608930,0.728138979,1.251067881
an=8bn,18,2,12.712038,27.370768,44.647039,0.353112170,0.760299102,1.240195519
an=8bn,20,3,14.784330,32.212320,51.437226,0.246405494,0.536871994,0.857287095
an=8bn,22,3,16.847265,32.253300,51.675327,0.255261595,0.488686367,0.782959502
an=8bn,24,3,16.728936,32.102352,53.017648,0.232346336,0.445865993,0.736356218
an=8bn,26,3,17.189505,37.024181,59.195904,0.220378274,0.474668985,0.758921851
an=8bn,28,4,18.441065,42.475416,66.672086,0.164652367,0.379244787,0.595286482
an=8bn,30,4,21.538458,43.476791,66.756739,0.179487147,0.362306589,0.556306161
an=8bn,32,4,21.938326,42.209201,68.253571,0.171393174,0.329759380,0.533231022
an=8bn,34,4,23.612133,47.171969,74.239930,0.173618627,0.346852716,0.545881836
an=8bn,36,5,27.502851,53.049226,83.487060,0.152793616,0.294717921,0.463817002
an=8bn,38,5,28.300832,53.230402,82.635270,0.148951747,0.280160012,0.434922473
an=8bn,40,5,28.607974,54.404238,84.546635,0.143039868,0.272021190,0.422733177
an=8bn,42,5,32.584282,62.398599,95.095461,0.155163246,0.297136184,0.452835531
an=8bn,44,6,35.075535,64.723559,98.025862,0.132861877,0.245164998,0.371310084
